model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time
linear_gain_8,-1,3,Linear,11,0.0,200,0.24437215055241493,0.7552857330612603,0.7331164516572448,0.023908758352016224,0.004197955131530762,0.2944223190427867,16.777802550043845,0.0425,15.003124713897705,1.2252478628275703,115,5.75
lqr_node3_q1_r1,-1,3,LQR,11,0.0,200,0.32700412547821994,0.8135117160817608,0.9810123764346598,0.06338182565422705,0.004899322986602783,0.21997424432580495,8.864195698853989,0.015,15.001712322235107,1.7159634713472716,132,6.6000000000000005
zero_input,-1,3,Zero Input,11,0.0,200,1.304284654046755,1.7702437578349381,3.9128539621402645,4.156717750393314,3.399139106273651,0.0,0.0,0.0,15.858731985092163,5.602669446474284,-1,nan
linear_gain_8,-1,3,Linear,12,0.0,200,0.25079345817082344,0.7562088908272052,0.7523803745124703,0.024223700211739835,0.0042552947998046875,0.2692067052732382,13.975038650732657,0.0375,15.001208782196045,1.242532885082029,115,5.75
lqr_node3_q1_r1,-1,3,LQR,12,0.0,200,0.3301997000393353,0.8089582531049709,0.990599100118006,0.06280052204282931,0.00484389066696167,0.2033155179233381,7.354081965395405,0.01,15.000833988189697,1.7003049466536562,132,6.6000000000000005
zero_input,-1,3,Zero Input,12,0.0,200,1.6375629691312636,2.123209776860316,4.9126889073937905,2.899581370898235,3.665187656879425,0.0,0.0,0.0,16.612693309783936,5.380874715337706,-1,nan
linear_gain_8,-1,3,Linear,13,0.0,200,0.30585259820875754,0.798323966597395,0.9175577946262726,0.024266985509498618,0.004270195960998535,0.3509655278965719,16.515534675808546,0.0375,15.004226684570312,1.2576303341569592,115,5.75
lqr_node3_q1_r1,-1,3,LQR,13,0.0,200,0.3777463013462642,0.8410521057204968,1.1332389040387925,0.0626979296291132,0.00483626127243042,0.2954149448689935,10.842096462253544,0.015,15.002650260925293,1.6989271917625965,132,6.6000000000000005
zero_input,-1,3,Zero Input,13,0.0,200,1.9904750311067474,2.502331634106535,5.971425093320242,4.370992112490866,3.3587111830711365,0.0,0.0,0.0,15.461125373840332,5.662408490456752,-1,nan
linear_gain_8,-1,3,Linear,14,0.0,200,0.2347169909359158,0.7541456437348506,0.7041509728077474,0.02408823122580846,0.004236817359924316,0.2498243360448062,13.78034555664368,0.0375,14.998266696929932,1.260966108101814,115,5.75
lqr_node3_q1_r1,-1,3,LQR,14,0.0,200,0.31057773219190804,0.803881928866384,0.9317331965757242,0.062204077230467475,0.004777133464813232,0.17204282040408164,6.1267900249456275,0.01,14.99923038482666,1.6949961820561716,131,6.550000000000001
zero_input,-1,3,Zero Input,14,0.0,200,1.5774802270555188,2.115981764585521,4.7324406811665565,2.530841974610532,5.980322003364563,0.0,0.0,0.0,14.623953342437744,4.743065302737465,-1,nan
linear_gain_8,-1,3,Linear,15,0.0,200,0.2512822951726671,0.7570029796180984,0.7538468855180014,0.024076627785868852,0.004225254058837891,0.25665079982500716,13.850732835741667,0.0375,15.001205444335938,1.2454406814649701,115,5.75
