method,controlled_nodes,scenario,mismatch,noise_std,controller_seed,mae,rmse,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
SAC,3,mismatch,2.0,0.0,1024,0.06415989231620156,0.13904128042177843,0.09336068090511321,0.07470896318554875,5.234199120642271,0.0,
SAC,3,noise,0.0,0.05,42,0.1262408937245792,0.20174118137181263,0.3019340542635167,0.3405236998572945,36.72716904834326,0.000125,
SAC,3,noise,0.0,0.05,123,0.12694775338805486,0.20246169397716235,0.30625748816377446,0.3521725846454501,49.39964303150423,0.0,
SAC,3,noise,0.0,0.05,1024,0.1288457731118968,0.2049935618427062,0.3096662176405022,0.36825632471591235,65.08558809864296,0.0,
SAC,3,nominal,0.0,0.0,42,0.04275397801174582,0.14289187229202932,0.013837121793551805,0.011343274498358315,4.593393366338491,0.000125,
SAC,3,nominal,0.0,0.0,123,0.04081762033719683,0.14275537903468047,0.008326742978605535,0.008484897483140186,4.485521155417762,0.0,
SAC,3,nominal,0.0,0.0,1024,0.041090096063236506,0.14331670089054155,0.007181941231972795,0.008776073693297755,4.706434748536771,0.0,
SAC,3,pulse,0.0,0.0,42,0.26876557982071503,0.7832021778041311,0.023991129685906127,0.005397108197212185,13.16406147955001,0.00925,1.3662596416332995
SAC,3,pulse,0.0,0.0,123,0.2856568874433067,0.9034341163632262,0.020313157693678356,0.005124941468238785,12.107289480116567,0.0,1.4750921931787306
SAC,3,pulse,0.0,0.0,1024,0.26605543649345786,0.7754134012320604,0.03188515232450519,0.010309427976608231,12.574855388587233,0.0,1.3546420615613552
SMC,2,mismatch,0.5,0.0,-1,0.1373542453630307,0.3386246031780087,0.0980619967449456,0.0711643221788108,7.534516506997956,0.019875,
SMC,2,mismatch,1.0,0.0,-1,0.1649211951750365,0.35427981002119113,0.19280523070318184,0.14148538094013924,7.601783975579503,0.01975,
SMC,2,mismatch,1.5,0.0,-1,0.1933074662147855,0.3764632147857058,0.28591466874119903,0.2109146925155073,7.710097633793782,0.01975,
SMC,2,mismatch,2.0,0.0,-1,0.22234904026222263,0.403849208966914,0.3785707473338087,0.2821775074815377,7.8441289332718735,0.019875,
SMC,2,noise,0.0,0.01,-1,0.14227492938861647,0.32336199524525855,0.13989212343801258,0.14195092171430584,16.505805552238137,0.01475,
SMC,2,noise,0.0,0.02,-1,0.1865383573772067,0.35472355011961904,0.2808175278757124,0.2847260074689984,47.90945247582689,0.020999999999999998,
SMC,2,noise,0.0,0.05,-1,0.32947655496584655,0.4988269413490386,0.729784980932837,0.7235986879095435,140.48858004832232,0.22337500000000002,
SMC,2,nominal,0.0,0.0,-1,0.101792086545251,0.3072401403862365,3.631568544710998e-06,5.565118044614791e-07,5.59195469508556,0.01475,
SMC,2,pulse,0.0,0.0,-1,0.5644276468809188,1.154270977640111,0.15376635619531162,0.01163339912891383,14.126610166121063,0.034625,2.76913779618807
SMC,3,mismatch,0.5,0.0,-1,0.07476111763522837,0.16436059389079105,0.06884517609156135,0.06105133756063874,5.630324533595767,0.015,
SMC,3,mismatch,1.0,0.0,-1,0.09116331609140177,0.17423058346522666,0.13613195353903357,0.1211806189268827,5.661833548474082,0.015,
SMC,3,mismatch,1.5,0.0,-1,0.10813615728779913,0.18743528160311165,0.20194742972718224,0.18018956566229458,5.725813711305056,0.014875,
SMC,3,mismatch,2.0,0.0,-1,0.12567127208228906,0.20291515502755542,0.2664663657724259,0.23792777704074974,5.823056853028165,0.014875,
SMC,3,noise,0.0,0.01,-1,0.10220136472124855,0.2004428882117011,0.12263642556959597,0.1373237452935427,9.234489195731822,0.0115,
SMC,3,noise,0.0,0.02,-1,0.135828516875581,0.22327316207949174,0.2456003548522813,0.27426691884174936,23.071887278685157,0.01175,
SMC,3,noise,0.0,0.05,-1,0.23893127839476005,0.32313161494610265,0.6028779040527656,0.6731341524980963,92.50815458720055,0.08687500000000001,
SMC,3,nominal,0.0,0.0,-1,0.0727948495227073,0.18972410096653683,5.025116570097877e-05,6.5211672335863115e-06,4.595304947756912,0.011375,
SMC,3,pulse,0.0,0.0,-1,0.36259931852255367,0.8236559420980614,0.13812100806583955,0.029167261719703613,11.373059758058938,0.029875000000000002,1.7352260709337113
