scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,118,0.0,-1,0.045048831471420844,0.0643034531838364,0.015347981825470924,3.048022432219008,0.005,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_42,42,119,0.0,-1,0.257759091692821,0.016879405429655756,0.04102489352226257,15.837486644204619,0.035,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,100,0.0,-1,0.09932859744086973,0.25555322622811355,0.0800316333770752,2.4179036481576475,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,101,0.0,-1,0.08004833033644375,0.19920495664125976,0.03176264651119709,5.709849218641432,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,102,0.0,-1,0.13386521060236498,0.1971329017829748,0.2574290931224823,7.441093858952135,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,103,0.0,-1,0.12151498628078851,0.2784622386097908,0.16919606924057007,9.125790539466578,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,104,0.0,-1,0.20450575980230087,0.2699354685107131,0.18000434711575508,13.900604724165099,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,105,0.0,-1,0.136274982270098,0.3144277376525196,0.11653152853250504,13.896230062911743,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,106,0.0,-1,0.18677211718026823,0.14660508458698054,0.10505422856658697,12.322413274180173,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,107,0.0,-1,0.13476007007889246,0.16559917866079896,0.05200222134590149,7.399301228485914,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,108,0.0,-1,0.10043844454925653,0.2690709029427833,0.20259300991892815,6.648457179326942,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,109,0.0,-1,0.17267653924519086,0.17950812954869536,0.3166251704096794,6.688225575419377,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,110,0.0,-1,0.08767694787603067,0.13268130111657542,0.23031064867973328,6.79411402715854,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,111,0.0,-1,0.3080517890362235,0.32306199442641237,0.16547922044992447,18.748619535772438,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,112,0.0,-1,0.10905729213470929,0.22347700204930188,0.23335528373718262,4.094107176258802,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,113,0.0,-1,0.27482707296666115,0.21747638747372008,0.23656314611434937,10.578693493988993,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,114,0.0,-1,0.07578736997060656,0.24101456946888825,0.18064971268177032,3.7829817774350003,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,115,0.0,-1,0.12203265742668983,0.12266428239735556,0.297187864780426,3.2405527109470453,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,116,0.0,-1,0.10899970175331444,0.09243754214710659,0.3803499937057495,1.9263812723107465,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,117,0.0,-1,0.16052196157673498,0.31043987275089746,0.19246221333742142,10.294909909013917,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,118,0.0,-1,0.12282392982523563,0.30509888009386665,0.09135022759437561,5.195599600999356,0.0,
nominal,2,SAC,sac_continuous_hopfield_node2_screen_100000steps_seed_42,42,119,0.0,-1,0.3286292924006111,0.11852564970836227,0.04214054346084595,12.170887095733729,0.0,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_1024,1024,100,0.0,-1,0.021055429932914507,0.0074458162840685726,0.003931820392608643,6.029509163254092,0.015,
